YEAR,MONTH,LE,PROJECT NAME,AMOUNT,AMOUNT USD,TYPE,COUNTRY NAME,VAT RATE,VAT Currency,VAT USD
2025,10,Proto Group Ltd.,Intelico,917.13,694.47,DISCOUNT_FEE,Lesotho,0.0,0.0,0.0
2025,10,Proto Group Ltd.,,-629.63,-541.07,CHARGEBACK,Japan,0.0,-0.0,-0.0
2025,10,Metasa Limited,Intelico,636.13,636.13,SALE,Kenya,0.0,0.0,0.0
2025,10,Metasa Limited,,-875.86,-651.44,CHARGEBACK,Martinique,0.0,-0.0,-0.0
2025,10,Proto Group Ltd.,Intelico,921.82,686.79,DISCOUNT_FEE,Trinidad and Tobago,0.0,0.0,0.0
2025,10,,Dreamly,240.55,179.15,VAT,Cyprus,19.0,0.0,0.0
2025,10,Metasa Limited,,599.17,448.73,DISCOUNT_FEE,Uzbekistan,0.0,0.0,0.0
2025,10,,Dreamly,69.51,69.51,VAT,Madagascar,0.0,0.0,0.0
2025,10,Proto Group Ltd.,Dreamly,433.03,321.31,DISCOUNT_FEE,Bolivia (Plurinational State of),0.0,0.0,0.0
2025,10,Metasa Limited,Intelico,892.62,668.5,CAPTURE_FEE,Hong Kong,0.0,0.0,0.0
2025,10,,,560.18,560.18,DISCOUNT_FEE,British Indian Ocean Territory (the),0.0,0.0,0.0
2025,10,Metasa Limited,Intelico,-840.17,-721.86,CHARGEBACK,United States Minor Outlying Islands (the),0.0,-0.0,-0.0
2025,10,Metasa Limited,,71.02,60.98,DISCOUNT_FEE,Niue,0.0,0.0,0.0
2025,10,,Intelico,905.82,675.49,CAPTURE_FEE,Syrian Arab Republic (the),0.0,0.0,0.0
2025,10,,Intelico,242.18,207.94,DISCOUNT_FEE,Cyprus,19.0,0.0,0.0
2025,10,Proto Group Ltd.,Intelico,559.45,559.45,VAT,Tunisia,0.0,0.0,0.0
2025,10,,Dreamly,-363.15,-313.93,CHARGEBACK,Central African Republic (the),0.0,-0.0,-0.0
2025,10,Metasa Limited,,-164.04,-164.04,CHARGEBACK,Cabo Verde,0.0,-0.0,-0.0
2025,10,Metasa Limited,Dreamly,156.4,156.4,VAT,Malaysia,0.0,0.0,0.0
2025,10,,Intelico,-374.17,-277.8,CHARGEBACK,Poland,23.0,-86.0591,-63.89
2025,10,,,691.64,691.64,SALE,Syrian Arab Republic (the),0.0,0.0,0.0
2025,10,Metasa Limited,,-841.2,-627.03,CHARGEBACK,Dominica,0.0,-0.0,-0.0
2025,10,,Dreamly,-697.25,-594.11,CHARGEBACK,Kazakhstan,0.0,-0.0,-0.0
2025,10,,Intelico,374.27,318.73,DISCOUNT_FEE,Egypt,0.0,0.0,0.0
2025,10,Proto Group Ltd.,Intelico,926.58,796.1,CAPTURE_FEE,Iceland,0.0,0.0,0.0
2025,10,Proto Group Ltd.,,435.22,435.22,VAT,Mongolia,0.0,0.0,0.0
2025,10,Proto Group Ltd.,Intelico,572.72,572.72,DISCOUNT_FEE,Tunisia,0.0,0.0,0.0
2025,10,Metasa Limited,,668.96,668.96,SALE,Bangladesh,0.0,0.0,0.0
2025,10,Metasa Limited,,-380.08,-282.8,CHARGEBACK,Northern Mariana Islands (the),0.0,-0.0,-0.0
2025,10,Metasa Limited,,-458.28,-391.47,REFUND,Jamaica,0.0,-0.0,-0.0
2025,10,,Intelico,13.62,11.74,DISCOUNT_FEE,Ecuador,0.0,0.0,0.0
2025,10,Metasa Limited,Dreamly,243.31,243.31,DISCOUNT_FEE,Saint Kitts and Nevis,0.0,0.0,0.0
2025,10,Proto Group Ltd.,,-373.95,-281.94,CHARGEBACK,Guam,0.0,-0.0,-0.0
2025,10,Proto Group Ltd.,Intelico,94.37,70.25,DISCOUNT_FEE,North Macedonia,0.0,0.0,0.0
2025,10,,,-278.12,-208.54,REFUND,Saint Pierre and Miquelon,0.0,-0.0,-0.0
2025,10,Proto Group Ltd.,,770.0,572.71,SALE,Micronesia (Federated States of),0.0,0.0,0.0
2025,10,Metasa Limited,Intelico,247.72,211.42,VAT,French Polynesia,0.0,0.0,0.0
2025,10,,Intelico,82.26,61.72,VAT,Lebanon,0.0,0.0,0.0
2025,10,,Dreamly,-259.32,-222.53,REFUND,Brazil,0.0,-0.0,-0.0
2025,10,,Intelico,823.9,612.7,CAPTURE_FEE,Türkiye,0.0,0.0,0.0
2025,10,Proto Group Ltd.,Intelico,153.35,114.15,DISCOUNT_FEE,Türkiye,0.0,0.0,0.0
2025,10,Metasa Limited,Intelico,-593.96,-440.72,REFUND,New Caledonia,0.0,-0.0,-0.0
2025,10,Proto Group Ltd.,Intelico,894.07,768.17,VAT,Andorra,0.0,0.0,0.0
2025,10,Proto Group Ltd.,Dreamly,682.7,512.2,DISCOUNT_FEE,Belgium,21.0,0.0,0.0
2025,10,,Intelico,988.77,847.97,CAPTURE_FEE,Montenegro,0.0,0.0,0.0
2025,10,,Intelico,-585.11,-585.11,CHARGEBACK,Faroe Islands (the),0.0,-0.0,-0.0
2025,10,Metasa Limited,Intelico,430.35,369.82,DISCOUNT_FEE,Tunisia,0.0,0.0,0.0
2025,10,Proto Group Ltd.,Dreamly,266.08,227.09,DISCOUNT_FEE,Guatemala,0.0,0.0,0.0
2025,10,,,748.85,748.85,CAPTURE_FEE,New Zealand,0.0,0.0,0.0
2025,10,,,371.44,371.44,VAT,Saint Lucia,0.0,0.0,0.0
2025,10,Metasa Limited,Dreamly,819.2,819.2,VAT,Mauritania,0.0,0.0,0.0
2025,10,Proto Group Ltd.,Intelico,-839.86,-626.3,CHARGEBACK,Wallis and Futuna,0.0,-0.0,-0.0
2025,10,,Dreamly,242.31,208.51,CAPTURE_FEE,India,0.0,0.0,0.0
2025,10,Metasa Limited,Dreamly,-280.56,-280.56,REFUND,Angola,0.0,-0.0,-0.0
2025,10,,,634.39,482.3,DISCOUNT_FEE,Chad,0.0,0.0,0.0
2025,10,,,170.95,128.24,VAT,Australia,0.0,0.0,0.0
2025,10,Proto Group Ltd.,Dreamly,525.65,390.97,SALE,Afghanistan,0.0,0.0,0.0
2025,10,Proto Group Ltd.,Intelico,-439.7,-378.23,CHARGEBACK,Finland,25.5,-112.12349999999999,-96.45
2025,10,,Intelico,-406.11,-351.06,REFUND,Korea (the Republic of),0.0,-0.0,-0.0
2025,10,Proto Group Ltd.,Dreamly,488.23,488.23,VAT,Lithuania,21.0,0.0,0.0
2025,10,Proto Group Ltd.,Dreamly,87.23,64.69,DISCOUNT_FEE,Guernsey,0.0,0.0,0.0
2025,10,Proto Group Ltd.,,581.95,435.22,SALE,Libya,0.0,0.0,0.0
2025,10,Metasa Limited,,49.03,36.56,VAT,Martinique,0.0,0.0,0.0
2025,10,,,424.34,314.69,VAT,United States of America (the),0.0,0.0,0.0
2025,10,Metasa Limited,Dreamly,317.62,317.62,DISCOUNT_FEE,Saint Vincent and the Grenadines,0.0,0.0,0.0
