YEAR,MONTH,LE,PROJECT NAME,AMOUNT,AMOUNT USD,TYPE,COUNTRY NAME,VAT RATE,VAT Currency,VAT USD
2025,11,Proto Group Ltd.,Dreamly,-935.42,-935.42,Chargeback,Latvia,21.0,-196.4382,-196.44
2025,11,Proto Group Ltd.,Dreamly,12.44,12.44,Sales,Guam,0.0,0.0,0.0
2025,11,Proto Group Ltd.,Dreamly,409.93,409.93,Sales,Turks and Caicos Islands (the),0.0,0.0,0.0
2025,11,Proto Group Ltd.,Dreamly,59.4,59.4,Sales,Costa Rica,0.0,0.0,0.0
2025,11,Proto Group Ltd.,Dreamly,578.25,578.25,Sales,Czech Republic,21.0,121.43249999999999,121.43
2025,11,Proto Group Ltd.,Dreamly,28.38,28.38,Reserve accrued,Jordan,0.0,0.0,0.0
2025,11,Proto Group Ltd.,Dreamly,852.04,852.04,Sales,American Samoa,0.0,0.0,0.0
2025,11,Proto Group Ltd.,Dreamly,-735.89,-735.89,Chargeback,Hungary,27.0,-198.6903,-198.69
2025,11,Proto Group Ltd.,Dreamly,-485.27,-485.27,Refund,Heard Island and McDonald Islands,0.0,-0.0,-0.0
2025,11,Proto Group Ltd.,Dreamly,75.76,75.76,Reserve accrued,United Kingdom of Great Britain and Northern Ireland (the),0.0,0.0,0.0
2025,11,Proto Group Ltd.,Dreamly,64.14,64.14,Reserve accrued,Saint Lucia,0.0,0.0,0.0
2025,11,Proto Group Ltd.,Dreamly,-58.87,-58.87,Chargeback,Zimbabwe,0.0,-0.0,-0.0
2025,11,Proto Group Ltd.,Dreamly,693.67,693.67,Sales,Palau,0.0,0.0,0.0
2025,11,Proto Group Ltd.,Dreamly,497.93,497.93,Sales,Monaco,0.0,0.0,0.0
2025,11,Proto Group Ltd.,Dreamly,311.11,311.11,Sales,Jordan,0.0,0.0,0.0
2025,11,Proto Group Ltd.,Dreamly,16.19,16.19,Sales,Lesotho,0.0,0.0,0.0
2025,11,Proto Group Ltd.,Dreamly,916.57,916.57,Sales,United States Minor Outlying Islands (the),0.0,0.0,0.0
2025,11,Proto Group Ltd.,Dreamly,33.07,33.07,Sales,Germany,19.0,6.2833000000000006,6.28
2025,11,Proto Group Ltd.,Dreamly,-853.79,-853.79,Chargeback,Switzerland,0.0,-0.0,-0.0
2025,11,Proto Group Ltd.,Dreamly,682.99,682.99,Sales,Sierra Leone,0.0,0.0,0.0
2025,11,Proto Group Ltd.,Dreamly,270.43,270.43,Sales,Lithuania,21.0,56.7903,56.79
2025,11,Proto Group Ltd.,Dreamly,111.21,111.21,Sales,Czech Republic,21.0,23.3541,23.35
2025,11,Proto Group Ltd.,Dreamly,-414.33,-414.33,Refund,Cabo Verde,0.0,-0.0,-0.0
2025,11,Proto Group Ltd.,Dreamly,800.47,800.47,Sales,Benin,0.0,0.0,0.0
2025,11,Proto Group Ltd.,Dreamly,436.56,436.56,Sales,Uruguay,0.0,0.0,0.0
2025,11,Proto Group Ltd.,Dreamly,308.85,308.85,Sales,Sudan (the),0.0,0.0,0.0
2025,11,Proto Group Ltd.,Dreamly,-803.69,-803.69,Refund,Albania,0.0,-0.0,-0.0
2025,11,Proto Group Ltd.,Dreamly,540.89,540.89,Sales,France,20.0,108.178,108.18
2025,11,Proto Group Ltd.,Dreamly,91.82,91.82,Sales,Timor-Leste,0.0,0.0,0.0
2025,11,Proto Group Ltd.,Dreamly,-925.59,-925.59,Chargeback,Korea (the Democratic People's Republic of),0.0,-0.0,-0.0
2025,11,Proto Group Ltd.,Dreamly,277.74,277.74,Reserve accrued,Lebanon,0.0,0.0,0.0
2025,11,Proto Group Ltd.,Dreamly,188.64,188.64,Reserve accrued,South Africa,0.0,0.0,0.0
2025,11,Proto Group Ltd.,Dreamly,54.64,54.64,Sales,Solomon Islands,0.0,0.0,0.0
2025,11,Proto Group Ltd.,Dreamly,938.01,938.01,Sales,Romania,21.0,196.9821,196.98
2025,11,Proto Group Ltd.,Dreamly,-961.3,-961.3,Refund,Portugal,23.0,-221.099,-221.1
2025,11,Proto Group Ltd.,Dreamly,373.97,373.97,Reserve accrued,Hong Kong,0.0,0.0,0.0
2025,11,Proto Group Ltd.,Dreamly,376.61,376.61,Reserve accrued,Guyana,0.0,0.0,0.0
2025,11,Proto Group Ltd.,Dreamly,-561.41,-561.41,Refund,Nigeria,0.0,-0.0,-0.0
2025,11,Proto Group Ltd.,Dreamly,711.09,711.09,Sales,Slovenia,22.0,156.43980000000002,156.44
2025,11,Proto Group Ltd.,Dreamly,62.11,62.11,Reserve accrued,South Sudan,0.0,0.0,0.0
2025,11,Proto Group Ltd.,Dreamly,-392.17,-392.17,Chargeback,New Zealand,0.0,-0.0,-0.0
2025,11,Proto Group Ltd.,Dreamly,449.66,449.66,Sales,Cyprus,19.0,85.4354,85.44
2025,11,Proto Group Ltd.,Dreamly,-957.51,-957.51,Chargeback,Namibia,20.0,-191.502,-191.5
2025,11,Proto Group Ltd.,Dreamly,517.85,517.85,Reserve accrued,Suriname,0.0,0.0,0.0
2025,11,Proto Group Ltd.,Dreamly,-334.43,-334.43,Refund,"Tanzania, the United Republic of",0.0,-0.0,-0.0
2025,11,Proto Group Ltd.,Dreamly,928.01,928.01,Sales,Åland Islands,0.0,0.0,0.0
2025,11,Proto Group Ltd.,Dreamly,570.87,570.87,Sales,Hong Kong,0.0,0.0,0.0
2025,11,Proto Group Ltd.,Dreamly,270.93,270.93,Sales,Turkmenistan,0.0,0.0,0.0
2025,11,Proto Group Ltd.,Dreamly,-203.73,-203.73,Refund,Lebanon,0.0,-0.0,-0.0
2025,11,Proto Group Ltd.,Dreamly,-142.43,-142.43,Refund,French Southern Territories (the),0.0,-0.0,-0.0
2025,11,Proto Group Ltd.,Dreamly,395.24,395.24,Sales,South Sudan,0.0,0.0,0.0
2025,11,Proto Group Ltd.,Dreamly,319.94,319.94,Sales,Sao Tome and Principe,0.0,0.0,0.0
2025,11,Proto Group Ltd.,Dreamly,-212.99,-212.99,Chargeback,Philippines (the),0.0,-0.0,-0.0
2025,11,Proto Group Ltd.,Dreamly,-951.31,-951.31,Refund,Kuwait,0.0,-0.0,-0.0
2025,11,Proto Group Ltd.,Dreamly,981.24,981.24,Sales,Korea (the Republic of),0.0,0.0,0.0
2025,11,Proto Group Ltd.,Dreamly,-214.91,-214.91,Refund,Solomon Islands,0.0,-0.0,-0.0
