YEAR,MONTH,LE,PROJECT NAME,AMOUNT,AMOUNT USD,TYPE,COUNTRY NAME,VAT RATE,VAT Currency,VAT USD
2025,11,Metasa Limited,Intelico,729.19,729.19,Sales,Holy See (the),0.0,0.0,0.0
2025,11,Metasa Limited,Intelico,269.43,269.43,Sales,Türkiye,0.0,0.0,0.0
2025,11,Metasa Limited,Intelico,588.5,588.5,Sales,Guadeloupe,0.0,0.0,0.0
2025,11,Metasa Limited,Intelico,111.2,111.2,Reserve accrued,Lithuania,21.0,0.0,0.0
2025,11,Metasa Limited,Intelico,-219.8,-219.8,Chargeback,Vanuatu,0.0,0.0,0.0
2025,11,Metasa Limited,Intelico,-771.43,-771.43,Chargeback,Lao People's Democratic Republic (the),0.0,0.0,0.0
2025,11,Metasa Limited,Intelico,356.68,356.68,Sales,India,0.0,0.0,0.0
2025,11,Metasa Limited,Intelico,938.45,938.45,Sales,French Guiana,0.0,0.0,0.0
2025,11,Metasa Limited,Intelico,706.38,706.38,Sales,Eritrea,0.0,0.0,0.0
2025,11,Metasa Limited,Intelico,378.91,378.91,Sales,Jamaica,0.0,0.0,0.0
2025,11,Metasa Limited,Intelico,318.26,318.26,Reserve accrued,"Saint Helena, Ascension and Tristan da Cunha",0.0,0.0,0.0
2025,11,Metasa Limited,Intelico,-473.41,-473.41,Refund,"Palestine, State of",0.0,0.0,0.0
2025,11,Metasa Limited,Intelico,981.45,981.45,Sales,"Palestine, State of",0.0,0.0,0.0
2025,11,Metasa Limited,Intelico,310.01,310.01,Sales,United States Minor Outlying Islands (the),0.0,0.0,0.0
2025,11,Metasa Limited,Intelico,-345.23,-345.23,Refund,Trinidad and Tobago,0.0,0.0,0.0
2025,11,Metasa Limited,Intelico,-870.5,-870.5,Refund,Tonga,0.0,0.0,0.0
2025,11,Metasa Limited,Intelico,-564.88,-564.88,Refund,Tuvalu,0.0,0.0,0.0
2025,11,Metasa Limited,Intelico,81.02,81.02,Sales,Faroe Islands (the),0.0,0.0,0.0
2025,11,Metasa Limited,Intelico,-634.47,-634.47,Chargeback,Cabo Verde,0.0,0.0,0.0
2025,11,Metasa Limited,Intelico,987.18,987.18,Reserve accrued,Svalbard and Jan Mayen,0.0,0.0,0.0
2025,11,Metasa Limited,Intelico,622.54,622.54,Sales,Jamaica,0.0,0.0,0.0
2025,11,Metasa Limited,Intelico,423.43,423.43,Sales,Lesotho,0.0,0.0,0.0
2025,11,Metasa Limited,Intelico,423.95,423.95,Reserve accrued,Greece,0.0,0.0,0.0
2025,11,Metasa Limited,Intelico,659.2,659.2,Sales,Virgin Islands (British),0.0,0.0,0.0
2025,11,Metasa Limited,Intelico,-630.48,-630.48,Refund,Djibouti,0.0,0.0,0.0
2025,11,Metasa Limited,Intelico,107.73,107.73,Sales,Tonga,0.0,0.0,0.0
2025,11,Metasa Limited,Intelico,-583.66,-583.66,Refund,Sint Maarten (Dutch part),0.0,0.0,0.0
2025,11,Metasa Limited,Intelico,-173.66,-173.66,Chargeback,Equatorial Guinea,0.0,0.0,0.0
2025,11,Metasa Limited,Intelico,-893.67,-893.67,Refund,Japan,0.0,0.0,0.0
2025,11,Metasa Limited,Intelico,508.42,508.42,Sales,Niue,0.0,0.0,0.0
2025,11,Metasa Limited,Intelico,-776.16,-776.16,Refund,Aruba,0.0,0.0,0.0
2025,11,Metasa Limited,Intelico,409.09,409.09,Reserve accrued,Austria,20.0,0.0,0.0
2025,11,Metasa Limited,Intelico,128.17,128.17,Reserve accrued,Bouvet Island,0.0,0.0,0.0
2025,11,Metasa Limited,Intelico,977.92,977.92,Reserve accrued,Tonga,0.0,0.0,0.0
2025,11,Metasa Limited,Intelico,868.49,868.49,Sales,Wallis and Futuna,0.0,0.0,0.0
2025,11,Metasa Limited,Intelico,915.51,915.51,Sales,Cabo Verde,0.0,0.0,0.0
2025,11,Metasa Limited,Intelico,749.31,749.31,Sales,British Indian Ocean Territory (the),0.0,0.0,0.0
2025,11,Metasa Limited,Intelico,590.63,590.63,Sales,Cayman Islands (the),0.0,0.0,0.0
2025,11,Metasa Limited,Intelico,563.3,563.3,Sales,Malawi,0.0,0.0,0.0
2025,11,Metasa Limited,Intelico,883.2,883.2,Sales,French Guiana,0.0,0.0,0.0
2025,11,Metasa Limited,Intelico,506.1,506.1,Sales,Somalia,0.0,0.0,0.0
