YEAR,MONTH,LE,PROJECT NAME,AMOUNT,AMOUNT USD,TYPE,COUNTRY NAME,VAT RATE,VAT Currency,VAT USD
2025,11,,Dreamly,277.62,277.62,VAT,Korea (the Democratic People's Republic of),0.0,0.0,0.0
2025,11,,,678.43,584.9,SALE,United States Minor Outlying Islands (the),0.0,0.0,0.0
2025,11,Metasa Limited,Intelico,797.3,797.3,SALE,Kyrgyzstan,0.0,0.0,0.0
2025,11,Proto Group Ltd.,Dreamly,-675.84,-675.84,CHARGEBACK,Viet Nam,0.0,-0.0,-0.0
2025,11,Metasa Limited,Intelico,-809.23,-809.23,REFUND,Montserrat,0.0,-0.0,-0.0
2025,11,,Dreamly,354.04,354.04,DISCOUNT_FEE,Côte d'Ivoire,0.0,0.0,0.0
2025,11,Metasa Limited,Intelico,-633.77,-482.49,CHARGEBACK,Türkiye,0.0,-0.0,-0.0
2025,11,,Dreamly,904.66,904.66,VAT,Wallis and Futuna,0.0,0.0,0.0
2025,11,Proto Group Ltd.,,-810.14,-810.14,REFUND,Cayman Islands (the),0.0,-0.0,-0.0
2025,11,,Intelico,9.44,8.14,VAT,Cayman Islands (the),0.0,0.0,0.0
2025,11,Metasa Limited,Dreamly,354.84,269.74,VAT,Estonia,24.0,0.0,0.0
2025,11,Proto Group Ltd.,Dreamly,757.65,576.8,CAPTURE_FEE,Eswatini,0.0,0.0,0.0
2025,11,Proto Group Ltd.,,888.16,770.58,VAT,Saint Pierre and Miquelon,0.0,0.0,0.0
2025,11,Proto Group Ltd.,,-210.78,-210.78,CHARGEBACK,Iran (Islamic Republic of),0.0,-0.0,-0.0
2025,11,Metasa Limited,,-801.61,-691.43,REFUND,Myanmar,0.0,-0.0,-0.0
2025,11,Metasa Limited,Dreamly,-764.61,-764.61,REFUND,Iran (Islamic Republic of),0.0,-0.0,-0.0
2025,11,,,-356.44,-356.44,REFUND,Israel,0.0,-0.0,-0.0
